iyear,latitude,longitude
2012,30.209423,67.018009
2012,-0.45612,39.646123
2012,28.636116,69.186465
2012,-0.45612,39.646123
2012,28.466667,67.283333
2012,34.761723,71.324719
2012,34.193514,43.875255
2012,32.397381,64.47316
2012,30.996068,65.475736
2012,34.0989,71.14978
2012,-2.694693,27.341538
2012,35.46883,44.39098
2012,32.929773,70.669266
2012,33.238757,44.339691
2012,33.238757,44.339691
2012,24.817544,93.916458
2012,30.488927,-87.227633
2012,11.833333,13.15
2012,25.416797,68.274325
2012,24.933308,67.03334
2012,31.379885,64.29944
2012,27.491929,95.347833
2012,34.002047,69.031149
2012,33.699969,45.083445
2012,34.333894,45.382883
2012,34.343559,67.921173
2012,35.580278,63.327778
2012,12.654455,-16.362767
2012,34.0989,71.14978
2012,33.35,43.783333
2012,33.637909,70.851324
2012,32.927129,66.141526
2012,31.201562,64.035792
2012,4.735972,45.203972
2012,33.770837,68.3697
2012,34.677778,70.195278
2012,32.623739,65.456432
2012,33.970982,68.94899
2012,26.999966,85.467506
2012,34.004345,71.544814
2012,32.526996,74.096084
2012,12.78679,10.23771
2012,11.833333,13.15
2012,11.74886,11.96603
2012,31.61088,65.700272
2012,31.61088,65.700272
2012,31.61088,65.700272
2012,33.291875,44.067299
2012,33.291875,44.067299
2012,33.3,44.433333
2012,33.230985,44.342575
2012,36.33945,43.130683
2012,36.33945,43.130683
2012,35.46883,44.39098
2012,33.394528,44.380392
2012,40.728224,-73.794852
2012,40.728224,-73.794852
2012,40.728224,-73.794852
2012,40.728224,-73.794852
2012,32.625,62.488056
2012,49.065783,33.410033
2012,20.973302,86.49618
2012,6.748078,101.378567
2012,29.033333,69.15
2012,35.992567,43.218238
2012,3.935639,41.855116
2012,-1.950106,30.058769
2012,9.053611,125.586667
2012,33.35,43.783333
2012,36.335888,43.099908
2012,33.695975,70.336069
2012,-2.694693,27.341538
2012,-2.694693,27.341538
2012,6.769722,47.430833
2012,43.312916,45.694864
2012,42.978368,47.491066
